"","nmiss"
"id",0
"listing_url",0
"name",0
"space",0
"description",0
"transit",0
"host_name",0
"host_since",0
"host_location",0
"host_response_time",0
"host_response_rate",523
"host_acceptance_rate",0
"host_is_superhost",0
"host_neighbourhood",0
"host_listings_count",2
"host_total_listings_count",2
"street",0
"neighbourhood",0
"neighbourhood_cleansed",0
"neighbourhood_group_cleansed",0
"city",0
"state",0
"zipcode",0
"market",0
"smart_location",0
"country_code",0
"country",0
"latitude",0
"longitude",0
"is_location_exact",0
"property_type",0
"room_type",0
"accommodates",0
"bathrooms",16
"bedrooms",6
"beds",1
"bed_type",0
"amenities",0
"square_feet",3721
"price",0
"weekly_price",0
"monthly_price",0
"security_deposit",0
"cleaning_fee",0
"guests_included",0
"extra_people",0
"minimum_nights",0
"maximum_nights",0
"calendar_updated",0
"has_availability",0
"availability_30",0
"availability_60",0
"availability_90",0
"availability_365",0
"number_of_reviews",0
"first_review",0
"last_review",0
"review_scores_rating",647
"review_scores_accuracy",658
"review_scores_cleanliness",653
"review_scores_checkin",658
"requires_license",0
"jurisdiction_names",0
"cancellation_policy",0
"calculated_host_listings_count",0
"reviews_per_month",627
